Cities,Country,Date,Latitude,Longitude,Temp,Humidity,Windspeed,Cloudiness
bethel,US,1612982149,41.3712,-73.414,30.99,50,3.44,1
malanje,AO,1612981894,-9.5402,16.341,66.87,93,5.46,88
tadine,NC,1612982149,-21.55,167.8833,76.48,84,6.13,11
cidreira,BR,1612982149,-30.1811,-50.2056,77.52,74,13.29,100
qaanaaq,GL,1612982149,77.484,-69.3632,3.07,71,11.79,99
rawlins,US,1612982150,41.7911,-107.2387,35.6,48,25.32,1
cherskiy,RU,1612982150,68.75,161.3,-9.8,85,1.72,0
jaciara,BR,1612982150,-15.9653,-54.9683,86.11,56,3.51,97
hermanus,ZA,1612982150,-34.4187,19.2345,71.01,76,3.0,0
thinadhoo,MV,1612982150,0.5333,72.9333,81.63,77,12.97,93
ahipara,NZ,1612982150,-35.1667,173.1667,61.79,91,9.4,100
lompoc,US,1612981944,34.6391,-120.4579,64.0,76,10.42,1
busselton,AU,1612982151,-33.65,115.3333,55.0,97,8.59,1
new norfolk,AU,1612982151,-42.7826,147.0587,53.01,68,2.64,0
punta arenas,CL,1612982008,-53.15,-70.9167,66.2,55,9.22,0
tiksi,RU,1612982151,71.6872,128.8694,-14.08,87,3.44,100
vaini,TO,1612982151,-21.2,-175.2,78.8,94,6.91,40
bengkulu,ID,1612982151,-3.8004,102.2655,75.24,88,4.18,85
ushuaia,AR,1612981954,-54.8,-68.3,80.6,29,16.11,0
kajaani,FI,1612982152,64.2273,27.7285,-11.2,84,4.61,90
sorong,ID,1612982152,-0.8833,131.25,81.52,81,5.19,100
lebu,CL,1612982152,-37.6167,-73.65,68.94,66,8.03,0
barrow,US,1612982152,71.2906,-156.7887,-20.2,76,5.75,40
puerto ayora,EC,1612981872,-0.7393,-90.3518,80.6,83,6.91,75
svetlogorsk,BY,1612982153,52.6333,29.7333,6.03,95,4.92,100
saint-philippe,RE,1612982153,-21.3585,55.7679,80.6,69,4.61,40
tasiilaq,GL,1612982153,65.6145,-37.6368,15.8,38,4.61,75
baykit,RU,1612982153,61.67,96.37,-11.61,85,2.8,100
dikson,RU,1612981989,73.5069,80.5464,-20.83,89,7.96,94
bredasdorp,ZA,1612982153,-34.5322,20.0403,68.0,77,9.22,71
shenjiamen,CN,1612982154,29.9576,122.298,50.61,90,11.25,100
saint-pierre,RE,1612982154,-21.3393,55.4781,80.6,69,4.61,40
chenghai,CN,1612982154,23.4632,116.768,59.0,94,2.24,75
vicksburg,US,1612982070,32.3526,-90.8779,68.0,68,6.91,20
peace river,CA,1612982154,56.2501,-117.286,-18.4,63,6.91,90
kodiak,US,1612982154,57.79,-152.4072,37.4,81,14.97,90
lagoa,PT,1612982155,39.05,-27.9833,58.19,67,32.46,61
rikitea,PF,1612982155,-23.1203,-134.9692,79.05,72,11.23,52
monkey bay,MW,1612982155,-14.0728,34.9201,79.41,75,9.82,100
mataura,NZ,1612982155,-46.1927,168.8643,49.26,93,11.88,100
hobart,AU,1612982098,-42.8794,147.3294,53.01,87,10.36,0
